GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
0500000US06001,06001,"Alameda County, California",1335,18
0500000US06007,06007,"Butte County, California",864,34
0500000US06013,06013,"Contra Costa County, California",1389,39
0500000US06017,06017,"El Dorado County, California",1018,77
0500000US06019,06019,"Fresno County, California",859,19
0500000US06023,06023,"Humboldt County, California",914,62
0500000US06025,06025,"Imperial County, California",759,40
0500000US06029,06029,"Kern County, California",894,25
0500000US06031,06031,"Kings County, California",825,67
0500000US06033,06033,"Lake County, California",944,81
0500000US06037,06037,"Los Angeles County, California",1205,5
0500000US06039,06039,"Madera County, California",968,45
0500000US06041,06041,"Marin County, California",1632,86
0500000US06045,06045,"Mendocino County, California",904,57
0500000US06047,06047,"Merced County, California",864,38
0500000US06053,06053,"Monterey County, California",1217,29
0500000US06055,06055,"Napa County, California",1299,79
0500000US06057,06057,"Nevada County, California",1262,116
0500000US06059,06059,"Orange County, California",1499,20
0500000US06061,06061,"Placer County, California",1321,49
0500000US06065,06065,"Riverside County, California",1164,18
0500000US06067,06067,"Sacramento County, California",1014,23
0500000US06071,06071,"San Bernardino County, California",1092,18
0500000US06073,06073,"San Diego County, California",1289,19
0500000US06075,06075,"San Francisco County, California",1491,36
0500000US06077,06077,"San Joaquin County, California",995,29
0500000US06079,06079,"San Luis Obispo County, California",1203,56
0500000US06081,06081,"San Mateo County, California",1669,42
0500000US06083,06083,"Santa Barbara County, California",1336,48
0500000US06085,06085,"Santa Clara County, California",1653,22
0500000US06087,06087,"Santa Cruz County, California",1350,58
0500000US06089,06089,"Shasta County, California",893,42
0500000US06095,06095,"Solano County, California",1257,49
0500000US06097,06097,"Sonoma County, California",1285,41
0500000US06099,06099,"Stanislaus County, California",967,26
0500000US06101,06101,"Sutter County, California",959,56
0500000US06107,06107,"Tulare County, California",811,31
0500000US06111,06111,"Ventura County, California",1518,46
0500000US06113,06113,"Yolo County, California",1110,46
0500000US06115,06115,"Yuba County, California",918,84
