Year,Completed,Construction,Predevelopment
1981,3449510,,
1982,2500369.95,,
1983,5626597,,
1984,1301729,,
1985,6810259,,
1986,2809357.5,,
1987,2483967,,
1988,8966079,,
1989,9996047,,
1990,9407794.6,,
1991,13960069.72,,
1992,4265309,,
1993,12200778,,
1994,18742133.89,,
1995,27844455,,
1996,20207561.62,,
1997,23698207,,
1998,17611058,,
1999,29091351.07,,
2000,63685825,,
2001,18509984,,
2002,64183072.21,,
2003,90944183,149997,
2004,8454781,334558,
2005,49715577,,
2006,46831027.79,,
2007,36523758,,13731058
2008,45135884,5783800,5512000
2009,67843047.17,10938431,14126164.33
2010,36462793,4416508,3075877
2011,42679469.5,39131442,9346909
2012,5804591,88023,7100295
2013,454000,10790000,23423091
2014,,,33029291
