Proj_Key,label,Address Number,Street,Zipcode,description,longitude,latitude,geo_accuracy,Sponsor,Affordable Units,Beds,Target Population,status,Affordability Requirement Year
3,Mercy Family Plaza,1509,Hayes,94117,1509 Hayes San Francisco CA 94117,-122.441204,37.774476,0.859,Mercy Housing,36,0,Families,Completed,1990
5,Market Heights,1000,Tompkins,94110,1000 Tompkins San Francisco CA 94110,-122.410377,37.736893,0.863,BHNC,46,0,Families,Completed,1996
6,San Cristina,1000,Market St,94102,1000 Market St San Francisco CA 94102,-122.408684,37.78344,0.86,CHP,58,0,Singles,Completed,1994
9,Juan Pifarre Plaza,3101,21st St,94110,3101 21st St San Francisco CA 94110,-122.41672,37.757166,0.898,MHDC,30,0,Families,Completed,1998
10,Parkview Hotel,102,South Park Ave,94107,102 South Park Ave San Francisco CA 94107,-122.394184,37.781705,0.948,MHDC,40,0,Singles,Completed,1995
11,Veterans Academy,1030,Girard Road,94129,1030 Girard Road San Francisco CA 94129,-122.453604,37.800654,0.953,Swords to Plowshares,100,0,Singles,Completed,2000
12,Mary Elizabeth Inn,1040,Bush St,94109,1040 Bush St San Francisco CA 94109,-122.414274,37.789517,0.963,Mary Elizabeth Inn,93,0,Singles,Completed,2005
13,Abel Gonzales Apts,1045,Capp St,94110,1045 Capp St San Francisco CA 94110,-122.417072,37.749993,0.963,MHDC,29,0,Seniors,Completed,1992
19,Gran Oriente - 106 South Park,106,South Park Ave,94107,106 South Park Ave San Francisco CA 94107,-122.394259,37.78163,0.948,Gran Oriente Filipino,24,0,Singles,Completed,1986
25,CLARA HOUSE,111,PAGE ST,94102,111 PAGE ST San Francisco CA 94102,-122.422579,37.773981,0.963,COMPASS COMMUNITY SERVICES,12,0,Families,Completed,2002
36,Ozanam Center,1175,Howard ST,94103,1175 Howard ST San Francisco CA 94103,-122.411121,37.776688,0.836,St. Vincent de Paul Society,,12,Singles,Completed,2000
43,Connecticut Street Court,1206,Connecticut St,94107,1206 Connecticut St San Francisco CA 94107,-122.396476,37.751086,0.948,Asian Neighborhood Design,10,0,Families,Completed,1992
44,Consorcia Apartments,1204,Mason St,94108,1204 Mason St San Francisco CA 94108,-122.411299,37.794597,0.96,CCDC,24,0,Singles,Completed,1982
45,Fannie Lou Hamer House,1221,Cortland,94110,1221 Cortland San Francisco CA 94110,-122.411949,37.739835,0.863,BHNC,2,0,Families,Completed,1997
58,"Larkin Pine Senior Housing, Inc.",1303,Larkin,94109,1303 Larkin San Francisco CA 94109,-122.41892,37.789837,0.868,CCDC,63,0,Seniors,Completed,1994
63,Peter Claver Community,1340,Golden Gate Ave,94115,1340 Golden Gate Ave San Francisco CA 94115,-122.432494,37.779552,0.946,Catholic Charities,32,0,Singles,Completed,1994
69,1370 California,1370,California,94109,1370 California San Francisco CA 94109,-122.416794,37.791123,0.888,CCDC,49,0,Families,Completed,1994
72,Lyric Hotel,140,Jones ST,94102,140 Jones ST San Francisco CA 94102,-122.412209,37.782465,0.96,Conard House,58,0,Singles,Completed,1996
87,Lady Shaw,1483,Mason St,94133,1483 Mason St San Francisco CA 94133,-122.411906,37.796988,0.96,Self Help for the Elderly,70,0,Seniors,Completed,1990
90,Britton Courts,1250,Sunnydale Ave,94134,1250 Sunnydale Ave San Francisco CA 94134,-122.413216,37.711233,0.949,Mercy Housing,92,0,Families,Completed,2000
94,"Tower Hotel, Inc.",1525,Grant Ave,94133,1525 Grant Ave San Francisco CA 94133,-122.407703,37.800908,0.958,CCDC,17,0,Seniors,Completed,1983
97,Hamilton Family Center,1631,Hayes St,94117,1631 Hayes St San Francisco CA 94117,-122.443142,37.774221,0.96,Hamilton Family Center,20,0,Families,Completed,2000
98,Chinese Community Church of SF,1535,JACKSON,94109,1535 JACKSON San Francisco CA 94109,-122.420194,37.794207,0.875,Chinese Community Church of SF,18,0,Seniors,Completed,1986
109,William Penn Hotel/NOMDC,160,Eddy St,94102,160 Eddy St San Francisco CA 94102,-122.410297,37.784222,0.963,CCDC,91,0,Singles,Completed,1993
110,Howard Street Apts.,1601,Howard ST,94103,1601 Howard ST San Francisco CA 94103,-122.4169,37.771724,0.958,TNDC,12,0,Families,Completed,1998
