id,status_of_project,label,planning_approval_street_no,planning_approval_street_name,zip,section_415_declaration_of_intent,section_415_declaration_label,tenure,total_units_in_building_or_phase,final_bmr_on_site,final_bmr_off_site,off_site_units_at_this_site,total_bmr_s_in_this_building_or_phase,principal_project_address,off_site_address,lottery_date,entitlement_yr,building_completion_calendar_year,description,latitude,longitude,location_address,location_city,location_state,location_zip
121,Entitled,5400 Geary Blvd,5400,Geary Blvd.,94121,ON,On-Site BMR Project,Ownership,37,4,0,0,4,,,,2013,,"5400 Geary Street, San Francisco, CA 94121",37.78050748,-122.4775012,5400 Geary Street,San Francisco,CA,94121
87,Completed,"Candlestick Point - The Cove, Phase I",1 & 101,Crescent Way,94134,ON,On-Site BMR Project,Ownership,128,14,0,0,14,,,37956,2002,2001,"101 Crescent Way, San Francisco, CA 94134",37.71125419,-122.3890186,101 Crescent Way,San Francisco,CA,94134
189,Completed,The Century,2200,Market Street,94114,ON,On-Site BMR Project,Ownership,22,3,0,0,3,,,41828,2008,2014,"2200 Market Street, San Francisco, CA 94114",37.76566378,-122.4314283,2200 Market Street,San Francisco,CA,94114
62,First Const Doc Issued,Summit 800,800,Brotherhood Way,94132,OFF/FEE,Combination Project,Ownership,182,0,36,0,0,,833 Jamestown (19/196 rental units) & 1 Capitol (17/28 ownership units),,2005,,"800 Brotherhood Way, San Francisco, CA 94132",37.71464215,-122.4787714,800 Brotherhood Way,San Francisco,CA,94132
180,Entitled,2198 Market,2198,Market Street,94114,ON,On-Site BMR Project,Rental,87,10,0,0,10,,,,2014,,"2198 Market Street, San Francisco, CA 94114",37.76630445,-122.4306379,2198 Market Street,San Francisco,CA,94114
148,Completed,348 Hyde,336,Hyde Street,94109,ON,On-Site BMR Project,Rental,12,1,0,0,1,,,,1999,2004,"336 Hyde Street, San Francisco, CA 94109",37.78406687,-122.4159555,336 Hyde Street,San Francisco,CA,94109
167,Completed,81 Lansing,81,Lansing Street,94105,ON,On-Site BMR Project,Ownership,33,3,0,0,3,,,,1994,2002,"81 Lansing Street, San Francisco, CA 94105",37.78573653,-122.3943318,81 Lansing Street,San Francisco,CA,94105
301,Completed,Pacific Homes (AKA 1800 Washington and 1701 Jackson),1901,Van Ness Avenue,94109,ON,On-Site BMR Project,Ownership,149,6,0,0,6,,,,1996,2002,"1901 Van Ness Avenue, San Francisco, CA 94109",37.79328282,-122.4230432,1901 Van Ness Avenue,San Francisco,CA,94109
133,Completed,Haight Street Lofts,645,Haight Street,94117,ON,On-Site BMR Project,Ownership,20,3,0,0,3,,,,1992,1995,"645 Haight Street, San Francisco, CA 94117",37.77177318,-122.4328456,645 Haight Street,San Francisco,CA,94117
47,Completed,18th & Arkansas,300,Arkansas Street,94107,ON,On-Site BMR Project,Ownership,61,6,0,0,6,,,,1991,1994,"300 Arkansas Street, San Francisco, CA 94107",37.76182668,-122.3984235,300 Arkansas Street,San Francisco,CA,94107
200,Entitled,706 Mission,706,Mission Street,94103,FEE,Fee BMR Project,Unknown,185,0,0,0,0,,,,2013,,"706 Mission Street, San Francisco, CA 94103",37.78603382,-122.4023482,706 Mission Street,San Francisco,CA,94103
138,Completed,Rincon Green,333,Harrison Street,94105,ON,On-Site BMR Project,Rental,326,49,0,0,49,,,41248,2009,2013,"333 Harrison Street, San Francisco, CA 94105",37.78706266,-122.3916641,333 Harrison Street,San Francisco,CA,94105
12,Completed,788 8th Avenue,788,08th Avenue,94103,ON,On-Site BMR Project,Rental,12,1,0,0,1,,,,1997,2004,"788 8th Avenue, San Francisco, CA 94118",37.77368366,-122.4658643,788 8th Avenue,San Francisco,CA,94118
277,BP Issued,832 Sutter Street,832,Sutter Street,94109,ON,On-Site BMR Project,Rental,20,2,0,0,2,,,,2014,,"832 Sutter Street, San Francisco, CA 94109",37.7885481,-122.4141326,832 Sutter Street,San Francisco,CA,94109
59,Completed,Galvin Apartments,785-787,Brannan Street,94103,ON (FOR OFF-SITE),Units for Off-Site Project,Rental,0,0,0,56,56,4th and Freelon (56 units),,38869,2005,2006,"785 Brannan Street, San Francisco, CA 94103",37.77346703,-122.4026409,785 Brannan Street,San Francisco,CA,94103
261,Completed,2900 Sloat Blvd.,2900,Sloat (aka Wawona),94116,ON,On-Site BMR Project,Ownership,60,6,0,0,6,,,,1995,1996,"2900 Sloat Blvd., San Francisco, CA 94116",37.73558775,-122.5053717,2900 Sloat Blvd,San Francisco,CA,94116
309,Completed,1725 Washington Street,1725,Washington Street,94109,ON,On-Site BMR Project,Ownership,16,2,0,0,2,,,41626,2003,2006,"1725 Washington Street, San Francisco, CA 94109",37.79317336,-122.4217768,1725 Washington Street,San Francisco,CA,94109
276,BP Issued,693 Sutter Street,693,Sutter Street,94102,UNDECLARED,Combination Project,Unknown,16,,,,,,,,2005,,"693 Sutter Street, San Francisco, CA 94102",37.78881312,-122.4116563,693 Sutter Street,San Francisco,CA,94102
142,Completed,Hayes Street Gardens,342,Hayes Street,94102,ON,On-Site BMR Project,Ownership,14,1,0,0,1,,,,1995,2004,"342 Hayes Street, San Francisco, CA 94102",37.777008,-122.4221732,342 Hayes Street,San Francisco,CA,94102
197,Completed,Potrero Square,701,Minnesota,94107,ON,On-Site BMR Project,Ownership,58,5,0,0,5,,,,1991,1993,"701 Minnesota, San Francisco, CA 94107",37.76127474,-122.3905154,701 Minnesota,San Francisco,CA,94107
243,Completed,949 Post Street,949,Post Street,94109,ON,On-Site BMR Project,Rental,24,24,0,0,24,,,,1997,1999,"949 Post Street, San Francisco, CA 94109",37.78711351,-122.4174765,949 Post Street,San Francisco,CA,94109
162,Completed,2545 Judah Street (AKA 1408 31st),2545,Judah Street,94122,ON,On-Site BMR Project,Rental,13,2,0,0,2,,,39653,2002,2008,"2545 Judah Street, San Francisco, CA 94122",37.76111342,-122.4895379,2545 Judah Street,San Francisco,CA,94122
299,Completed,900 Van Ness,900,Van Ness Avenue,94109,ON,On-Site BMR Project,Rental,28,3,0,0,3,,,,1999,2003,"900 Van Ness Avenue, San Francisco, CA 94109",37.78401617,-122.420946,900 Van Ness Avenue,San Francisco,CA,94109
1,Completed,The Metropolitan,333-355,01st Street,94105,ON,On-Site BMR Project,Ownership,342,34,0,0,34,,,38446,2000,2005,"333 1st Street, San Francisco, CA 94105",37.78690379,-122.3939008,333 1st Street,San Francisco,CA,94105
31,Entitled,Park Merced - Phase I,3711,19th Avenue,94132,ON/FEE/OFF,Combination Project,Rental?,5679,284,0,0,284,,,,2011,,"3711 19th Avenue, San Francisco, CA 94132",37.72040791,-122.4754144,3711 19th Avenue,San Francisco,CA,94132
120,Completed,6901 Geary Blvd,6901,Geary Blvd. (aka 501 33rd Street),94121,ON,On-Site BMR Project,Rental,15,2,0,0,2,,,,2001,2006,"6901 Geary Blvd., San Francisco, CA 94121",37.77966285,-122.4936274,6901 Geary Blvd,San Francisco,CA,94121
157,Completed,One Ecker Place,16,Jessie (aka One Ecker Place),94105,FEE,Fee BMR Project,Ownership,51,0,0,0,0,,,,2007,2010,"16 Jessie Street, San Francisco, CA 94105",37.7898133,-122.3987888,16 Jessie Street,San Francisco,CA,94105
15,Completed,"301-303, 307-309 & 313-315 Moraga",1701,09th Avenue,94122,FEE,Fee BMR Project,Unknown,6,0,0,0,0,,,,2010,2013,"1701 9th Avenue, San Francisco, CA 94122",37.75638791,-122.4658136,1701 9th Avenue,San Francisco,CA,94122
251,Completed,The Potrero,450,Rhode Island (aka 450 Kansas),94107,ON,On-Site BMR Project,Ownership,165,20,0,0,20,,,39160,2003,2007,"450 Rhode Island, San Francisco, CA 94107",37.76412894,-122.4025441,450 Rhode Island,San Francisco,CA,94107
307,Completed,945 Vermont,929,Vermont Street,94107,ON,On-Site BMR Project,Ownership,10,1,0,0,1,,,37639,1998,2004,"929 Vermont Street, San Francisco, CA 94107",37.75777411,-122.4035719,929 Vermont Street,San Francisco,CA,94107
264,Completed,566 South Van Ness Avenue,566,South Van Ness Avenue,94110,ON,On-Site BMR Project,Ownership,34,4,0,0,4,,,39345,2005,2007,"566 South Van Ness Avenue, San Francisco, CA 94110",37.76400795,-122.4174143,566 South Van Ness Avenue,San Francisco,CA,94110
32,Entitled,2350 19th Avenue,2350,19th Avenue,94107,FEE,Fee BMR Project,Unknown,10,0,0,0,0,,,,2008,,"2350 19th Avenue, San Francisco, CA 94107",37.76080512,-122.4054659,2350 19th Avenue,San Francisco,CA,94107
297,Completed,1868 Van Ness Avenue,1868,Van Ness Avenue,94109,FEE,Fee BMR Project,Unknown,35,0,0,0,0,,,,2007,2010,"1868 Van Ness Avenue, San Francisco, CA 94109",37.79287837,-122.4227263,1868 Van Ness Avenue,San Francisco,CA,94109
181,First Const Doc Issued,"Trinity Plaza Apartments, Phase III",1167,Market Street,94103,ON,On-Site BMR Project,Rental,550,83,0,0,83,,,,2006,,"1167 Market Street, San Francisco, CA 94103",37.77922755,-122.4140445,1167 Market Street,San Francisco,CA,94103
26,First Const Doc Issued,"Onyx, Phase II",1717,17th Street,94103,FEE,Fee BMR Project,Ownership,21,0,0,0,0,,,,2010,2014,"1717 17th Street, San Francisco, CA 94103",37.76482262,-122.4013976,1717 17th Street,San Francisco,CA,94103
92,BP Issued,25-35 Dolores Street,25-35,Dolores Street,94103,ON,On-Site BMR Project,Ownership,37,4,0,0,4,,,,2011,,"25 Dolores Street, San Francisco, CA 94103",37.7685537,-122.4266452,25 Dolores Street,San Francisco,CA,94103
17,First Const Doc Issued,248/252 9th Street,248/252,09th Street,94103,FEE,Fee BMR Project,Unknown,15,0,0,0,0,,,,2014,,"248 9th Street, San Francisco, CA 94103",37.77433701,-122.4123972,248 9th Street,San Francisco,CA,94103
262,BP Issued,2800 Sloat Boulevard,2800,Sloat Blvd.,94116,ON/FEE,Combination Project,Unknown,55,1,0,0,1,,,,2008,,"2800 Sloat Blvd., San Francisco, CA 94116",37.73558807,-122.5047296,2800 Sloat Blvd,San Francisco,CA,94116
69,Completed,901 Bush Street,901,Bush Street,94109,ON,On-Site BMR Project,Ownership,38,5,0,0,5,,,40088,2008,2008,"901 Bush Street, San Francisco, CA 94109",37.78970384,-122.4123062,901 Bush Street,San Francisco,CA,94109
125,Completed,True Hope Square,950,Gilman Ave. (aka Arelious Walker Drive; aka 900 Gilman),94124,ON (FOR OFF-SITE),Units for Off-Site Project,Ownership,0,0,0,20,20,300 Spear Street (20 units),,37703,2001,2007,"950 Gilman Ave., San Francisco, CA 94124",37.71770581,-122.3871554,950 Gilman Ave,San Francisco,CA,94124
229,Completed,8 Octavia,4-20,Octavia Blvd.,94102,ON,On-Site BMR Project,Ownership,47,7,0,0,7,,,41956,2012,2014,"4 Octavia Blvd., San Francisco, CA 94102",37.7725164,-122.423496,4 Octavia Blvd,San Francisco,CA,94102
145,Completed,1234 Howard Street,1234,Howard Street,94103,ON,On-Site BMR Project,Ownership,18,2,0,0,2,,,39307,2002,2007,"1234 Howard Street, San Francisco, CA 94103",37.77576353,-122.4122475,1234 Howard Street,San Francisco,CA,94103
37,Completed,3520 20th Street,3520,20th Street,94110,ON,On-Site BMR Project,Ownership,14,1,0,0,1,,,,2006,2008,"3520 20th Street, San Francisco, CA 94110",37.75861758,-122.4196416,3520 20th Street,San Francisco,CA,94110
29,Completed,"Onyx, Phase I",1717,17th Street,94103,ON,On-Site BMR Project,Ownership,20,2,0,0,2,,,41961,2010,2014,"1717 17th Street, San Francisco, CA 94103",37.76482262,-122.4013976,1717 17th Street,San Francisco,CA,94103
94,Completed,30 Dore Street,30,Dore Street,94103,ON,On-Site BMR Project,Rental,42,4,0,0,4,,,39224,2005,2007,"30 Dore Street, San Francisco, CA 94103",37.77408696,-122.4132569,30 Dore Street,San Francisco,CA,94103
222,Completed,199 New Montgomery,199,New Montgomery,94105,ON,On-Site BMR Project,Ownership,166,18,0,0,18,,,38311,2003,2006,"199 New Montgomery, San Francisco, CA 94105",37.79001812,-122.3962296,199 New,San Francisco,CA,94105
241,Completed,1946 Polk Street,1946,Polk Street (AKA 1591 or 1596 Pacific),94109,FEE,Fee BMR Project,Unknown,41,0,0,0,0,,,,2009,2013,"1946 Polk Street, San Francisco, CA 94109",37.79474737,-122.4214864,1946 Polk Street,San Francisco,CA,94109
