Year,Breach of Lease Agreement ,Nuisance ,Non-payment of rent or habitual late payment of rent,Illegal Use of Unit ,Unapproved Subtenant ,Denial of Access to Unit ,Failure to Sign Lease Renewal
1997,345,266,229,19,77,13,2
1998,321,249,239,16,100,12,2
1999,314,249,265,27,190,11,2
2000,377,264,203,34,27,12,6
2001,383,263,172,32,22,9,2
2002,253,252,160,20,9,7,1
2003,283,280,169,23,10,7,1
2004,210,222,137,19,16,2,0
2005,292,330,139,30,14,7,0
2006,280,280,163,47,22,14,0
2007,377,320,208,38,16,20,9
2008,378,324,185,45,20,18,2
2009,410,255,192,36,20,13,6
2010,448,291,136,19,13,29,9
2011,536,245,135,30,21,26,4
2012,445,335,139,36,18,11,7
2013,595,356,150,45,19,15,11
2014,328,179,115,37,7,2,0
