GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US06075010100,06075010100,"Census Tract 101, San Francisco County, California",2160,129,333,101,1827,137
1400000US06075010200,06075010200,"Census Tract 102, San Francisco County, California",2676,203,810,171,1866,191
1400000US06075010300,06075010300,"Census Tract 103, San Francisco County, California",2021,164,437,139,1584,203
1400000US06075010400,06075010400,"Census Tract 104, San Francisco County, California",2590,164,731,165,1859,213
1400000US06075010500,06075010500,"Census Tract 105, San Francisco County, California",1619,122,388,90,1231,137
1400000US06075010600,06075010600,"Census Tract 106, San Francisco County, California",1841,126,179,70,1662,135
1400000US06075010700,06075010700,"Census Tract 107, San Francisco County, California",2426,140,256,101,2170,158
1400000US06075010800,06075010800,"Census Tract 108, San Francisco County, California",2449,140,450,132,1999,167
1400000US06075010900,06075010900,"Census Tract 109, San Francisco County, California",2807,110,574,132,2233,165
1400000US06075011000,06075011000,"Census Tract 110, San Francisco County, California",2625,118,400,151,2225,179
1400000US06075011100,06075011100,"Census Tract 111, San Francisco County, California",3015,165,394,135,2621,220
1400000US06075011200,06075011200,"Census Tract 112, San Francisco County, California",1721,157,477,122,1244,143
1400000US06075011300,06075011300,"Census Tract 113, San Francisco County, California",1522,97,176,64,1346,108
1400000US06075011700,06075011700,"Census Tract 117, San Francisco County, California",908,130,86,59,822,117
1400000US06075011800,06075011800,"Census Tract 118, San Francisco County, California",686,47,10,11,676,45
1400000US06075011901,06075011901,"Census Tract 119.01, San Francisco County, California",1499,137,280,84,1219,148
1400000US06075011902,06075011902,"Census Tract 119.02, San Francisco County, California",1718,113,69,41,1649,125
1400000US06075012000,06075012000,"Census Tract 120, San Francisco County, California",2566,139,72,51,2494,148
1400000US06075012100,06075012100,"Census Tract 121, San Francisco County, California",2279,106,142,60,2137,108
1400000US06075012201,06075012201,"Census Tract 122.01, San Francisco County, California",2668,194,136,58,2532,201
1400000US06075012202,06075012202,"Census Tract 122.02, San Francisco County, California",1555,128,27,22,1528,129
1400000US06075012301,06075012301,"Census Tract 123.01, San Francisco County, California",1228,120,9,14,1219,117
1400000US06075012302,06075012302,"Census Tract 123.02, San Francisco County, California",1786,144,9,14,1777,141
1400000US06075012401,06075012401,"Census Tract 124.01, San Francisco County, California",2406,233,0,12,2406,233
1400000US06075012402,06075012402,"Census Tract 124.02, San Francisco County, California",2070,185,207,126,1863,208
1400000US06075012501,06075012501,"Census Tract 125.01, San Francisco County, California",2193,194,40,39,2153,202
1400000US06075012502,06075012502,"Census Tract 125.02, San Francisco County, California",2180,170,0,12,2180,170
1400000US06075012601,06075012601,"Census Tract 126.01, San Francisco County, California",1539,103,232,75,1307,126
1400000US06075012602,06075012602,"Census Tract 126.02, San Francisco County, California",1705,103,409,100,1296,130
1400000US06075012700,06075012700,"Census Tract 127, San Francisco County, California",2125,144,490,131,1635,194
1400000US06075012800,06075012800,"Census Tract 128, San Francisco County, California",2409,136,820,146,1589,161
1400000US06075012901,06075012901,"Census Tract 129.01, San Francisco County, California",1490,122,416,92,1074,130
1400000US06075012902,06075012902,"Census Tract 129.02, San Francisco County, California",2059,124,539,151,1520,203
1400000US06075013000,06075013000,"Census Tract 130, San Francisco County, California",2504,134,700,160,1804,201
1400000US06075013101,06075013101,"Census Tract 131.01, San Francisco County, California",2371,151,476,161,1895,203
1400000US06075013102,06075013102,"Census Tract 131.02, San Francisco County, California",1616,104,315,97,1301,136
1400000US06075013200,06075013200,"Census Tract 132, San Francisco County, California",2378,149,1128,186,1250,199
1400000US06075013300,06075013300,"Census Tract 133, San Francisco County, California",1938,87,982,108,956,122
1400000US06075013400,06075013400,"Census Tract 134, San Francisco County, California",2064,112,592,133,1472,148
1400000US06075013500,06075013500,"Census Tract 135, San Francisco County, California",1654,86,312,67,1342,96
1400000US06075015100,06075015100,"Census Tract 151, San Francisco County, California",1499,121,391,82,1108,139
1400000US06075015200,06075015200,"Census Tract 152, San Francisco County, California",2409,137,515,140,1894,214
1400000US06075015300,06075015300,"Census Tract 153, San Francisco County, California",948,68,284,53,664,78
1400000US06075015400,06075015400,"Census Tract 154, San Francisco County, California",2937,149,867,161,2070,187
1400000US06075015500,06075015500,"Census Tract 155, San Francisco County, California",2286,142,227,121,2059,188
1400000US06075015600,06075015600,"Census Tract 156, San Francisco County, California",1312,81,363,90,949,102
1400000US06075015700,06075015700,"Census Tract 157, San Francisco County, California",2676,136,670,141,2006,184
1400000US06075015801,06075015801,"Census Tract 158.01, San Francisco County, California",1690,86,395,81,1295,102
1400000US06075015802,06075015802,"Census Tract 158.02, San Francisco County, California",1501,117,226,85,1275,133
1400000US06075015900,06075015900,"Census Tract 159, San Francisco County, California",2140,166,507,109,1633,188
1400000US06075016000,06075016000,"Census Tract 160, San Francisco County, California",1636,116,468,115,1168,125
1400000US06075016100,06075016100,"Census Tract 161, San Francisco County, California",2695,117,132,82,2563,141
1400000US06075016200,06075016200,"Census Tract 162, San Francisco County, California",1565,141,172,69,1393,150
1400000US06075016300,06075016300,"Census Tract 163, San Francisco County, California",2029,132,352,112,1677,164
1400000US06075016400,06075016400,"Census Tract 164, San Francisco County, California",1823,88,300,88,1523,126
1400000US06075016500,06075016500,"Census Tract 165, San Francisco County, California",2444,86,501,141,1943,153
1400000US06075016600,06075016600,"Census Tract 166, San Francisco County, California",2432,141,429,110,2003,157
1400000US06075016700,06075016700,"Census Tract 167, San Francisco County, California",2424,120,698,179,1726,189
1400000US06075016801,06075016801,"Census Tract 168.01, San Francisco County, California",1655,99,309,125,1346,129
1400000US06075016802,06075016802,"Census Tract 168.02, San Francisco County, California",1590,155,387,112,1203,169
1400000US06075016900,06075016900,"Census Tract 169, San Francisco County, California",1603,100,419,87,1184,117
1400000US06075017000,06075017000,"Census Tract 170, San Francisco County, California",2158,156,1254,179,904,194
1400000US06075017101,06075017101,"Census Tract 171.01, San Francisco County, California",1751,108,642,99,1109,123
1400000US06075017102,06075017102,"Census Tract 171.02, San Francisco County, California",1726,106,534,107,1192,141
1400000US06075017601,06075017601,"Census Tract 176.01, San Francisco County, California",3877,286,541,142,3336,290
1400000US06075017700,06075017700,"Census Tract 177, San Francisco County, California",729,83,122,52,607,86
1400000US06075017801,06075017801,"Census Tract 178.01, San Francisco County, California",2227,140,368,123,1859,171
1400000US06075017802,06075017802,"Census Tract 178.02, San Francisco County, California",1875,189,521,174,1354,206
1400000US06075017902,06075017902,"Census Tract 179.02, San Francisco County, California",628,70,0,12,628,70
1400000US06075018000,06075018000,"Census Tract 180, San Francisco County, California",1353,124,588,101,765,123
1400000US06075020100,06075020100,"Census Tract 201, San Francisco County, California",2715,228,564,150,2151,233
1400000US06075020200,06075020200,"Census Tract 202, San Francisco County, California",3106,158,529,139,2577,201
1400000US06075020300,06075020300,"Census Tract 203, San Francisco County, California",1648,128,521,127,1127,145
1400000US06075020401,06075020401,"Census Tract 204.01, San Francisco County, California",1696,111,865,149,831,178
1400000US06075020402,06075020402,"Census Tract 204.02, San Francisco County, California",2477,149,648,157,1829,176
1400000US06075020500,06075020500,"Census Tract 205, San Francisco County, California",1379,60,538,103,841,111
1400000US06075020600,06075020600,"Census Tract 206, San Francisco County, California",2583,153,1144,192,1439,197
1400000US06075020700,06075020700,"Census Tract 207, San Francisco County, California",2767,115,744,141,2023,159
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",2506,136,355,145,2151,171
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",1726,102,233,61,1493,114
1400000US06075021000,06075021000,"Census Tract 210, San Francisco County, California",2135,102,564,180,1571,186
1400000US06075021100,06075021100,"Census Tract 211, San Francisco County, California",1872,135,875,115,997,140
1400000US06075021200,06075021200,"Census Tract 212, San Francisco County, California",1438,92,796,107,642,119
1400000US06075021300,06075021300,"Census Tract 213, San Francisco County, California",1180,83,687,99,493,101
1400000US06075021400,06075021400,"Census Tract 214, San Francisco County, California",1659,110,833,104,826,116
1400000US06075021500,06075021500,"Census Tract 215, San Francisco County, California",2590,187,1143,161,1447,218
1400000US06075021600,06075021600,"Census Tract 216, San Francisco County, California",2083,128,1356,150,727,147
1400000US06075021700,06075021700,"Census Tract 217, San Francisco County, California",1884,61,1270,127,614,118
1400000US06075021800,06075021800,"Census Tract 218, San Francisco County, California",1875,69,976,129,899,126
1400000US06075022600,06075022600,"Census Tract 226, San Francisco County, California",874,72,443,69,431,76
1400000US06075022702,06075022702,"Census Tract 227.02, San Francisco County, California",988,68,374,79,614,83
1400000US06075022704,06075022704,"Census Tract 227.04, San Francisco County, California",1619,100,843,116,776,123
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",1918,91,794,105,1124,145
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",582,61,153,41,429,72
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",1583,90,412,94,1171,123
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",1430,90,324,81,1106,115
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",812,58,371,63,441,77
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",1114,60,477,83,637,84
1400000US06075023001,06075023001,"Census Tract 230.01, San Francisco County, California",1334,83,944,126,390,109
1400000US06075023003,06075023003,"Census Tract 230.03, San Francisco County, California",1140,100,817,113,323,107
1400000US06075023102,06075023102,"Census Tract 231.02, San Francisco County, California",1528,76,500,92,1028,108
1400000US06075023103,06075023103,"Census Tract 231.03, San Francisco County, California",1042,96,90,46,952,104
1400000US06075023200,06075023200,"Census Tract 232, San Francisco County, California",1227,79,632,118,595,123
1400000US06075023300,06075023300,"Census Tract 233, San Francisco County, California",857,71,571,74,286,85
1400000US06075023400,06075023400,"Census Tract 234, San Francisco County, California",931,105,383,91,548,127
1400000US06075025100,06075025100,"Census Tract 251, San Francisco County, California",1351,67,1013,92,338,81
1400000US06075025200,06075025200,"Census Tract 252, San Francisco County, California",2157,138,1102,185,1055,204
