Neighborhood,1-2 Units,3-10 Units,11-49 Units,50-250 Units,Above 250 Units
Downtown,0,23,285,2209,882
Showpl/Potrero,37,28,125,359,2422
Market Octavia,9,36,383,1642,828
Rincon Hill,1,0,0,232,2137
TB Combo,0,0,0,140,1587
East SoMa,4,44,255,944,282
Central Waterfront,3,25,94,624,599
Mission,28,119,188,524,351
Northeast,16,63,193,669,0
WSoMa,7,48,102,314,408
Western Addition,8,54,3,396,260
Mission Bay,0,0,0,188,263
"BVHP Area A,B",22,0,0,402,0
"South of Market, Other",0,0,0,394,0
Marina,17,18,196,154,0
"South Central, Other",57,44,32,122,0
Richmond,58,65,52,50,0
Park Merced,0,0,0,182,0
Other S Bayshore,11,34,94,0,0
Bernal Heights,46,25,0,50,0
"Ingleside, Other",37,14,64,0,2
Central,67,40,0,0,0
Balboa Park,1,14,13,71,0
Inner Sunset,35,28,34,0,0
Outer Sunset,30,11,0,56,0
Candlestick,0,0,0,77,0
Buena Vista,17,7,36,0,0
HP Shipyard,0,18,36,0,0
India Basin,2,22,0,0,0
VisVal,0,18,0,0,0
Executive Park,0,0,0,12,0
Japantown,0,4,0,0,0
Glen Park Compact,1,0,0,0,0
