label,Status,description,longitude,latitude,geo_accuracy,Neighborhood,Section 415 Declaration,Category,Tenure,Total Principal Project Units,Final BMR On-Site,Total inclusionary units off-site,Total inclusionary units at this location,Units For,Principal Project,Off-site address,Lottery Date,Entitlement year,Building completion year
Argenta,Completed,"1 Polk Street, San Francisco, CA 94102",-122.4180548,37.7768129,bar,Downtown/Civic Center,ON,On-site,Rental,179,9,0,9,On-Site,Argenta,,9/4/09,2001,2008
Odeon,Completed,"150 Powell Street , San Francisco, CA 94102",-122.407848,37.7862712,clothes,Downtown/Civic Center,ON,On-site,Ownership,29,3,0,3,On-Site,Odeon,,3/17/07,2003,2006
527-529 Stevenson Street,First Const Doc Issued,"527 Stevenson Street, San Francisco, CA 94103",-122.4161361,37.7766944,construction,SOMA,ON,On-site,Ownership,67,9,0,9,On-Site,527-529 Stevenson Street,,Pending,2011,
The Metropolitan ,Completed,"333 1st Street , San Francisco, CA 94105",-122.3939854,37.7872417,house,SOMA,ON,On-site,Ownership ,342,34,0,34,On-Site,The Metropolitan ,,4/4/05,2000,2005
5800 Third Street - Buildings 1 & 2,Completed,"5800 3rd Street, San Francisco, CA 94124",-122.3944,37.725396,house,Bayview,ON,On-site,Ownership,139,17,0,17,On-Site,5800 Third Street - Buildings 1 & 2,,12/1/2010 (& 7/18/12),2005,2010
Unknown,Entitled,"2290 3rd Street, San Francisco, CA 94107",-122.3886804,37.76069192,house,Potero Hill,ON,On-site,Ownership,71,11,0,11,On-Site,Unknown,,Pending,2013,
5800 Third Street - Building 3 ,BP Issued,"5800 3rd Street, San Francisco, CA 94124",-122.3944,37.725396,house,Bayview,ON,On-site,Rental,150,23,0,23,On-Site,5800 Third Street - Building 3 ,,Pending,2012,
4343 3rd Street ,Completed,"4343 3rd Street , San Francisco, CA 94124",-122.3893347,37.73836571,house,Bayview,ON,On-site,Ownership,16,2,0,2,On-Site,4343 3rd Street ,,Pending,2003,2007
Potrero Launch,Completed,"2235 3rd Street , San Francisco, CA 94107",-122.3885323,37.76129235,house,Potero Hill,ON,On-site,Rental,196,39,0,39,On-Site,Potrero Launch,,9/10/12,2008,2012
Mosso,First Const Doc Issued,"260 5th Street, San Francisco, CA",-122.4042062,37.78080649,house,SOMA,ON,On-site,Rental,179,27,0,27,On-Site,Mosso,,Pending,2010,
788 8th Avenue ,Completed,"788 8th Avenue, San Francisco, CA",-122.4658,37.77369202,house,Inner Richmond,ON,On-site,Rental,12,1,0,1,On-Site,788 8th Avenue ,,,1997,2004
55 Ninth Street,First Const Doc Issued,"55 9th Street, San Francisco, CA 94103",-122.4150912,37.7772193,house,SOMA,ON,On-site,Rental ,260,31,0,31,On-Site,55 Ninth Street,,1/28/14,2011,
788 Minna,Completed,"121 9th Street, San Francisco, CA",-122.4143601,37.77606732,house,SOMA,ON,On-site,Ownership,20,2,0,2,On-Site,788 Minna,,3/2/12,2005,2011
480 14th Street,Completed,"480 14th Street, San Francisco, CA",-122.4239155,37.76811831,house,Mission,ON,On-site,Ownership,12,1,0,1,On-Site,480 14th Street,,Pending,2006,2009
1501 15th Street,First Const Doc Issued,"1501 15th Street, San Francisco, CA 94110",-122.417792,37.766714,house,Mission,ON,On-site,Ownership,40,7,0,7,On-Site,1501 15th Street,,Pending,2011,
2401 16th Street,BP Issued,"2401 16th Street, San Francisco, CA 94110",-122.410634,37.765515,house,Mission,ON,On-site,Ownership,12,1,0,1,On-Site,2401 16th Street,,Pending,2011,
1150 16th Street (AKA 1208 8th Street),Entitled,"1150 16th Street, San Francisco, CA 94107",-122.3981755,37.766267,house,SOMA,ON,On-site,Ownership,15,2,0,2,On-Site,1150 16th Street (AKA 1208 8th Street),,Pending,2012,
Daggett Triangle,First Const Doc Issued,"1000 16th Street , San Francisco, CA 94107",-122.39706,37.766502,house,SOMA,ON,On-site,Rental,470,94,0,94,On-Site,Daggett Triangle,,Pending,2011,
The Valencia @ 17th (AKA 601 Valencia),Completed,"3371 17th Street , San Francisco, CA 94110",-122.4212741,37.7632445,house,Mission,ON,On-site,Ownership,25,2,0,2,On-Site,The Valencia @ 17th (AKA 601 Valencia),,8/25/03,2000,2003
1001 17th Street (aka 140 Pennsylvania Avenue),Entitled,"1001 17th Street , San Francisco, CA 94107",-122.393995,37.765216,house,Potero Hill,ON,On-site,Ownership,37,5,0,5,On-Site,1001 17th Street (aka 140 Pennsylvania Avenue),,Pending,2013,
"310 Carolina Street, Phase I & II",First Const Doc Issued,"1717 17th Street, San Francisco, CA",-122.4008871,37.76479947,house,Potero Hill,ON/FEE,Combination,Ownership,41,2,0,2,On-Site,"310 Carolina Street, Phase I & II",,Pending,2010,
Providence,Completed,"1701 19th Avenue, San Francisco, CA 94122",-122.476649,37.755982,house,Outer Sunset,ON,On-site,Ownership,81,8,0,8,On-Site,Providence,,5/17/03,1999,2001
Park Merced - Phase I,Entitled,"3711 19th Avenue, San Francisco, CA 94132",-122.4754636,37.72083436,house,Outer Sunset,ON/FEE/OFF,Combination,Rental? ,5679,284,0,284,On-Site,,,Pending,2011,
Chelsea Park,Completed,"3620 19th Street, San Francisco, CA 94110",-122.4241688,37.760018,house,Mission,ON,On-site,Ownership,39,5,0,5,On-Site,Chelsea Park,,1/8/09,2001,2008
638 19th Street,Completed,"638 19th Street, San Francisco, CA 94107",-122.3890851,37.76182465,house,Potero Hill,ON,On-site,Ownership,21,2,0,2,On-Site,638 19th Street,,10/20/11,2002,2010
3520 20th Street,Completed,"3520 20th Street, San Francisco, CA 94110",-122.4195347,37.758686,house,Mission,ON,On-site,Ownership,14,1,0,1,On-Site,3520 20th Street,,Pending,2006,2008
616 20th Street ,Completed,"616 20th Street, San Francisco, CA 94107",-122.3878425,37.76061631,house,Potero Hill,ON,On-site,Ownership ,16,2,0,2,On-Site,616 20th Street ,,4/24/14,2011,2013
3930 24th Street,Completed,"3922 24th Street, San Francisco, CA 94114",-122.4302503,37.75161796,house,Mission,ON,On-site,Rental,19,2,0,2,On-Site,3930 24th Street,,,1995,2003
St. Paul's Commons,Completed,"317 29th Street, San Francisco, CA 94131",-122.4271277,37.74358906,house,Noe Valley,ON,On-site,Ownership,36,4,0,4,On-Site,St. Paul's Commons,,,1996,1999
Mosaica 601,Completed,"601 Alabama Street, San Francisco, CA 94110",-122.411935,37.761526,house,Mission,ON,On-site,Ownership,56,21,0,21,On-Site,Mosaica 601,,9/10/08,2005,2009
Ocean View Village,Completed,"2251 Alemany Blvd, San Francisco, CA 94112",-122.4430128,37.71714324,house,Outer MIssion,ON,On-site,Ownership,37,2,0,2,On-Site,Ocean View Village,,,1992,1995
18th & Arkansas ,Completed,"300 Arkansas Street, San Francisco, CA 94107",-122.398553,37.762334,house,Potero Hill,ON,On-site,Ownership,61,6,0,6,On-Site,18th & Arkansas ,,,1991,1994
329 Bay Street ,Completed,"329 Bay Street, San Francisco, CA 94133",-122.4124726,37.805676,house,North Beach,ON,On-site,Ownership,21,2,0,2,On-Site,329 Bay Street ,,8/3/07,2004,2007
Silver Park,Completed,"901 Bayshore Blvd., San Francisco, CA 94124",-122.4041373,37.73216636,house,Bayview,ON,On-site,Rental,40,4,0,4,On-Site,Silver Park,,No Lottery,2003,2003
BaySide Vista,Completed,"2011 Bayshore Blvd. , San Francisco, CA 94134",-122.3988925,37.71504536,house,Visitation Valley,ON,On-site,Ownership,64,6,0,6,On-Site,BaySide Vista,,6/10/09,2007,2009
Embarcadero Lofts ,Completed,"300 Beale Street, San Francisco, CA 94105",-122.3924816,37.7883769,house,SOMA,ON,On-site,Ownership,67,6,0,6,On-Site,Embarcadero Lofts ,,,1995,1998
Bridgeview,Completed,"400 Beale Street, San Francisco, CA 94105",-122.391144,37.787309,house,SOMA,ON,On-site,Ownership,245,24,0,24,On-Site,Bridgeview,,,1997,2003
388 Beale ,Completed,"388 Beale Street, San Francisco, CA 94105",-122.3914772,37.78757498,house,SOMA,ON,On-site,Rental,23,23,0,23,On-Site,388 Beale ,,,1997,2003
Watermark,Completed,"501 Beale Street, San Francisco, CA 94105",-122.389487,37.786221,house,SOMA,ON,On-site,Ownership,135,16,0,16,On-Site,Watermark,,1/23/06,2003,2006
77 Bluxome,Completed,"77 Bluxome Street , San Francisco, CA 94107",-122.3973351,37.77632537,house,SOMA,ON,On-site,Rental,102,10,0,10,On-Site,77 Bluxome,,8/28/12,2004,2007
39 Boardman Place ,Completed,"39 Boardman Place, San Francisco, CA",-122.4032866,37.77499673,house,SOMA,ON,On-site,Ownership,14,1,0,1,On-Site,39 Boardman Place ,,,1995,1996
Union,Completed,"2101 Bryant Street, San Francisco, CA 94110",-122.409883,37.760367,house,Mission,ON,On-site,Ownership,76,9,0,9,On-Site,Union,,8/14/09,2003,2009
55 Laguna Street,First Const Doc Issued,"218 Buchanan Street, San Francisco, CA 94102",-122.4269286,37.77190838,house,Western Addition,ON,On-site,Rental ,330,50,0,50,On-Site,55 Laguna Street,,Pending,2012,
The Midtown,Completed,"1452 Bush Street , San Francisco, CA 94109",-122.4211854,37.7886708,house,Nob Hill,ON,On-site,Ownership,22,2,0,2,On-Site,The Midtown,,Pending,2001,2004
901 Bush Street,Completed,"901 Bush Street , San Francisco, CA 94109",-122.412323,37.789625,house,Downtown/Civic Center,ON,On-site,Ownership,38,5,0,5,On-Site,901 Bush Street,,10/2/09,2008,2008
