label,Status,description,longitude,latitude,Tenure,Total Principal Project Units,Final BMR On-Site,Final BMR Off-Site,Total inclusionary units at this location,Units For,Principal project triggering inclusionary requirement,Entitlement year,Building completion year
Argenta,Completed,"1 Polk Street, San Francisco, CA 94102",-122.4180548,37.7768129,Rental,179,9,0,9,On-Site,Argenta,2001,2008
Odeon,Completed,"150 Powell Street , San Francisco, CA 94102",-122.407848,37.7862712,Ownership,29,3,0,3,On-Site,Odeon,2003,2006
527-529 Stevenson Street,First Const Doc Issued,"527 Stevenson Street, San Francisco, CA 94103",-122.4161361,37.7766944,Ownership,67,9,0,9,On-Site,527-529 Stevenson Street,2011,
The Metropolitan ,Completed,"333 1st Street , San Francisco, CA 94105",-122.3939854,37.7872417,Ownership ,342,34,0,34,On-Site,The Metropolitan ,2000,2005
5800 Third Street - Buildings 1 & 2,Completed,"5800 3rd Street, San Francisco, CA 94124",-122.3944,37.725396,Ownership,139,17,0,17,On-Site,5800 Third Street - Buildings 1 & 2,2005,2010
Unknown,Entitled,"2290 3rd Street, San Francisco, CA 94107",-122.3886804,37.76069192,Ownership,71,11,0,11,On-Site,Unknown,2013,
5800 Third Street - Building 3 ,BP Issued,"5800 3rd Street, San Francisco, CA 94124",-122.3944,37.725396,Rental,150,23,0,23,On-Site,5800 Third Street - Building 3 ,2012,
4343 3rd Street ,Completed,"4343 3rd Street , San Francisco, CA 94124",-122.3893347,37.73836571,Ownership,16,2,0,2,On-Site,4343 3rd Street ,2003,2007
Potrero Launch,Completed,"2235 3rd Street , San Francisco, CA 94107",-122.3885323,37.76129235,Rental,196,39,0,39,On-Site,Potrero Launch,2008,2012
Mosso,First Const Doc Issued,"260 5th Street, San Francisco, CA",-122.4042062,37.78080649,Rental,179,27,0,27,On-Site,Mosso,2010,
788 8th Avenue ,Completed,"788 8th Avenue, San Francisco, CA",-122.4658,37.77369202,Rental,12,1,0,1,On-Site,788 8th Avenue ,1997,2004
55 Ninth Street,First Const Doc Issued,"55 9th Street, San Francisco, CA 94103",-122.4150912,37.7772193,Rental ,260,31,0,31,On-Site,55 Ninth Street,2011,
788 Minna,Completed,"121 9th Street, San Francisco, CA",-122.4143601,37.77606732,Ownership,20,2,0,2,On-Site,788 Minna,2005,2011
480 14th Street,Completed,"480 14th Street, San Francisco, CA",-122.4239155,37.76811831,Ownership,12,1,0,1,On-Site,480 14th Street,2006,2009
1501 15th Street,First Const Doc Issued,"1501 15th Street, San Francisco, CA 94110",-122.417792,37.766714,Ownership,40,7,0,7,On-Site,1501 15th Street,2011,
2401 16th Street,BP Issued,"2401 16th Street, San Francisco, CA 94110",-122.410634,37.765515,Ownership,12,1,0,1,On-Site,2401 16th Street,2011,
1150 16th Street (AKA 1208 8th Street),Entitled,"1150 16th Street, San Francisco, CA 94107",-122.3981755,37.766267,Ownership,15,2,0,2,On-Site,1150 16th Street (AKA 1208 8th Street),2012,
Daggett Triangle,First Const Doc Issued,"1000 16th Street , San Francisco, CA 94107",-122.39706,37.766502,Rental,470,94,0,94,On-Site,Daggett Triangle,2011,
The Valencia @ 17th (AKA 601 Valencia),Completed,"3371 17th Street , San Francisco, CA 94110",-122.4212741,37.7632445,Ownership,25,2,0,2,On-Site,The Valencia @ 17th (AKA 601 Valencia),2000,2003
1001 17th Street (aka 140 Pennsylvania Avenue),Entitled,"1001 17th Street , San Francisco, CA 94107",-122.393995,37.765216,Ownership,37,5,0,5,On-Site,1001 17th Street (aka 140 Pennsylvania Avenue),2013,
"310 Carolina Street, Phase I & II",First Const Doc Issued,"1717 17th Street, San Francisco, CA",-122.4008871,37.76479947,Ownership,41,2,0,2,On-Site,"310 Carolina Street, Phase I & II",2010,
Providence,Completed,"1701 19th Avenue, San Francisco, CA 94122",-122.476649,37.755982,Ownership,81,8,0,8,On-Site,Providence,1999,2001
Park Merced - Phase I,Entitled,"3711 19th Avenue, San Francisco, CA 94132",-122.4754636,37.72083436,Rental? ,5679,284,0,284,On-Site,,2011,
Chelsea Park,Completed,"3620 19th Street, San Francisco, CA 94110",-122.4241688,37.760018,Ownership,39,5,0,5,On-Site,Chelsea Park,2001,2008
638 19th Street,Completed,"638 19th Street, San Francisco, CA 94107",-122.3890851,37.76182465,Ownership,21,2,0,2,On-Site,638 19th Street,2002,2010
3520 20th Street,Completed,"3520 20th Street, San Francisco, CA 94110",-122.4195347,37.758686,Ownership,14,1,0,1,On-Site,3520 20th Street,2006,2008
616 20th Street ,Completed,"616 20th Street, San Francisco, CA 94107",-122.3878425,37.76061631,Ownership ,16,2,0,2,On-Site,616 20th Street ,2011,2013
3930 24th Street,Completed,"3922 24th Street, San Francisco, CA 94114",-122.4302503,37.75161796,Rental,19,2,0,2,On-Site,3930 24th Street,1995,2003
St. Paul's Commons,Completed,"317 29th Street, San Francisco, CA 94131",-122.4271277,37.74358906,Ownership,36,4,0,4,On-Site,St. Paul's Commons,1996,1999
Mosaica 601,Completed,"601 Alabama Street, San Francisco, CA 94110",-122.411935,37.761526,Ownership,56,21,0,21,On-Site,Mosaica 601,2005,2009
Ocean View Village,Completed,"2251 Alemany Blvd, San Francisco, CA 94112",-122.4430128,37.71714324,Ownership,37,2,0,2,On-Site,Ocean View Village,1992,1995
18th & Arkansas ,Completed,"300 Arkansas Street, San Francisco, CA 94107",-122.398553,37.762334,Ownership,61,6,0,6,On-Site,18th & Arkansas ,1991,1994
329 Bay Street ,Completed,"329 Bay Street, San Francisco, CA 94133",-122.4124726,37.805676,Ownership,21,2,0,2,On-Site,329 Bay Street ,2004,2007
Silver Park,Completed,"901 Bayshore Blvd., San Francisco, CA 94124",-122.4041373,37.73216636,Rental,40,4,0,4,On-Site,Silver Park,2003,2003
BaySide Vista,Completed,"2011 Bayshore Blvd. , San Francisco, CA 94134",-122.3988925,37.71504536,Ownership,64,6,0,6,On-Site,BaySide Vista,2007,2009
Embarcadero Lofts ,Completed,"300 Beale Street, San Francisco, CA 94105",-122.3924816,37.7883769,Ownership,67,6,0,6,On-Site,Embarcadero Lofts ,1995,1998
Bridgeview,Completed,"400 Beale Street, San Francisco, CA 94105",-122.391144,37.787309,Ownership,245,24,0,24,On-Site,Bridgeview,1997,2003
388 Beale ,Completed,"388 Beale Street, San Francisco, CA 94105",-122.3914772,37.78757498,Rental,23,23,0,23,On-Site,388 Beale ,1997,2003
