label,latitude,longitude,accuracy,status
333-355 01st Street 94105,37.787031,-122.393642,9,Completed
750 02nd Street 94107,37.780006,-122.390271,9,Completed
201 02nd Street 94105,37.786864,-122.397709,9,Entitled
5800 03rd Street 94124,37.725277,-122.395194,9,Completed
2290 03rd Street 94107,37.760798,-122.388902,9,Entitled
5800 03rd Street 94124,37.725277,-122.395194,9,Completed
4343 03rd Street 94124,37.73808,-122.389287,9,Completed
2235 03rd Street 94107,37.761425,-122.388259,9,Completed
555-557 04th Street 94107,37.778883,-122.397179,8,Completed
260 05th Street 94103,37.78071,-122.403971,8,First Const Doc Issued
345 06th Street 94107,37.778165,-122.404677,9,Entitled
788 08th Avenue 94103,37.770086,-122.404013,8,Completed
350 08th Street 94103,37.774224,-122.408873,9,BP Issued
1701 09th Avenue 94122,37.756383,-122.466062,9,Completed
1266 09th Avenue 94122,37.764671,-122.466148,9,Completed
248/252 09th Street 94103,37.774127,-122.412521,9,BP Issued
55 09th Street 94103,37.777034,-122.415263,9,First Const Doc Issued
121 09th Street 94013,33.431108,-94.042455,8,Completed
480 14th Street 94103,37.768257,-122.423928,9,Completed
1501 15th Street 94110,37.766542,-122.417978,9,First Const Doc Issued
2401 16th Street 94110,37.765444,-122.410697,9,BP Issued
1150 16th Street 94107,37.76632,-122.399008,8,Entitled
1000 16th Street 94107,37.766457,-122.396934,8,First Const Doc Issued
3371 17th Street 94110,37.763311,-122.421278,8,Completed
1001 17th Street 94107,37.765025,-122.394131,9,Entitled
1717 17th Street 94103,37.764478,-122.400858,9,First Const Doc Issued
1701 19th Avenue 94122,37.756014,-122.476637,8,Completed
2350 19th Avenue 94107,37.760782,-122.405709,8,Entitled
3711 19th Avenue 94132,37.720561,-122.475865,9,Entitled
3500 19th Street 94110,37.760307,-122.421762,9,Completed
3620 19th Street 94110,37.76062,-122.424363,9,Completed
638 19th Street 94107,37.762084,-122.389011,9,Completed
3520 20th Street 94110,37.758854,-122.419785,9,Completed
616 20th Street 94107,37.760768,-122.387975,9,Completed
2900 22nd Street 94132,37.734501,-122.477979,8,Completed
3922-32 24th Street 94114,37.751518,-122.430753,8,Completed
3418 26th Street 94110,37.749202,-122.418984,9,First Const Doc Issued
317 29th Street 94131,37.743428,-122.427597,9,Completed
1131 43rd Avenue 94122,37.764259,-122.502984,8,Completed
601 Alabama Street 94110,37.761193,-122.411278,9,Completed
2251 Alemany Blvd 94112,37.717265,-122.442984,8,Completed
600 Anza Blvd 94118,37.780374,-122.45291,8,Completed
300 Arkansas Street 94107,37.762398,-122.398474,8,Completed
329 Bay Street 94133,37.805511,-122.412648,9,Completed
901-933 Bayshore Blvd. 94124,37.732524,-122.40442,8,Completed
2428 Bayshore Blvd. 94134,37.710971,-122.404376,9,Completed
2011 Bayshore Blvd. 94134,37.71497,-122.398787,9,Completed
300 Beale Street 94105,37.788176,-122.392522,9,Completed
400 Beale Street 94105,37.787067,-122.391128,9,Completed
388 Beale Street 94105,37.787602,-122.391911,9,Completed
501 Beale Street 94105,37.786287,-122.389054,9,Completed
77 Bluxome Street 94107,37.77626,-122.397105,9,Completed
39-43 Boardman Place 94103,37.77461,-122.402912,8,Completed
785-787 Brannan Street 94103,37.773131,-122.40272,9,Completed
801 Brannan Street 94103,37.77145,-122.404134,9,Entitled
1622-1650 Broadway Blvd 94109,37.795652,-122.424255,8,BP Issued
800 Brotherhood Way 94132,37.714635,-122.480307,8,First Const Doc Issued
2101 Bryant Street 94110,37.760477,-122.409988,8,Completed
218-220 Buchanan Street 94102,37.771992,-122.427038,8,First Const Doc Issued
1299 Bush Street 94109,37.788717,-122.418436,9,Completed
1452 Bush Street 94109,37.788768,-122.421284,9,Completed
901 Bush Street 94109,37.78956,-122.412236,9,Completed
2655 Bush Street 94104,37.786027,-122.44125,9,First Const Doc Issued
1635 California Street 94109,37.790214,-122.421362,9,Completed
2829 California Street 94115,37.787757,-122.440978,9,Completed
2525 California Street 94115,37.788348,-122.435986,9,Completed
1630 California Street 94109,37.790644,-122.421532,9,Completed
1 Capitol Avenue 94112,37.710892,-122.45903,9,Entitled
376 Castro Street 94114,37.762924,-122.435514,9,Entitled
3400 Cesar Chavez Street 94110,37.748473,-122.418462,9,Completed
690 Chestnut Street 94133,37.803839,-122.414563,9,Completed
520 Chestnut Street 94133,37.803933,-122.412155,8,Completed
741 Clement Street 94118,37.782657,-122.467256,9,Completed
470 Clementina Street 94103,37.779589,-122.405657,9,Completed
69 Clementina Street 94105,37.786419,-122.396387,9,Completed
436 Clementina Street 94103,37.780136,-122.404954,9,Completed
468 Clementina Street 94103,37.779572,-122.405426,8,First Const Doc Issued
672-676 B Clipper (aka 25th Street) 94114,37.749696,-122.43393,5,Completed
1255-1275 Columbus Avenue 94133,37.805784,-122.418142,8,Entitled
4 Craut Street 94112,37.730783,-122.428393,8,Completed
1 & 101 Crescent Way 94134,41.993494,-91.643001,3,Completed
301-501 Crescent Way 94134,37.711929,-122.388606,9,Completed
601 Crescent Way 94134,37.711331,-122.389,8,Entitled
599 Crestmont Drive 94131,37.758873,-122.460922,9,Entitled
100 Diana Street 94131,37.729819,-122.396432,8,Completed
606-624 Divisadero Street (1728 Hayes) 94117,37.775466,-122.437805,8,Entitled
200 Dolores Street 94114,37.766085,-122.426908,9,Completed
1598 Dolores Street 94110,37.743927,-122.424738,9,Completed
25-35 Dolores Street 94103,37.768605,-122.426534,9,BP Issued
30 Dore Street 94103,37.774041,-122.41346,9,Completed
101 Executive Park 94134,37.711387,-122.393694,8,Completed
NA Executive Park St. Francis Bay Phase III 94124,37.730417,-122.384425,3,Completed
149 Fair Oaks 94110,37.754316,-122.423915,9,Completed
280 Fell Street 94102,37.776162,-122.422441,9,Completed
1275 Fell Street 94117,37.773744,-122.43897,9,Completed
631 Folsom Street 94107,37.784718,-122.396743,9,Completed
829 Folsom Street 94107,37.781251,-122.401832,9,Completed
855 Folsom Street 94107,37.781015,-122.402093,9,Completed
821 Folsom Street 94107,37.781467,-122.401558,9,Completed
1168-1174 Folsom Street 94103,37.775714,-122.409743,9,Completed
201 Folsom Street 94105,37.788145,-122.391182,9,First Const Doc Issued
900 Folsom Street 94103,37.780128,-122.403957,9,First Const Doc Issued
231 Franklin Street 94102,37.776689,-122.421478,9,Completed
181 Fremont Street 94107,37.7897,-122.39535,9,First Const Doc Issued
333 Fremont Street 94105,37.787367,-122.392773,8,First Const Doc Issued
340-350 Fremont Street 94105,37.787047,-122.392963,9,BP Issued
355-399 Fremont Street 94105,37.787249,-122.392627,8,First Const Doc Issued
325 Fremont Street 94105,37.787766,-122.392934,9,BP Issued
375 Fremont Street 94105,37.787054,-122.392387,8,Entitled
733 Front Street 94111,37.79805,-122.399952,9,Completed
555 Fulton Street 94118,37.778194,-122.42581,9,BP Issued
344 Fulton Street 94102,37.778892,-122.422466,8,BP Issued
3425 Geary Blvd 94118,37.781344,-122.455692,8,Completed
651-655 Geary Blvd. 94102,37.786529,-122.414037,9,Entitled
6900 Geary Blvd. (aka 499 33rd Ave.) 94109,37.780025,-122.493469,9,Completed
6901 Geary Blvd. (aka 501 33rd Street) 94103,37.779397,-122.493429,9,Completed
2743-2761 Geary Street 94103,37.781942,-122.448715,9,Completed
