Year,Breach of Lease Agreement ,Nuisance ,Non-payment of Rent ,Habitual Late Payment of Rent ,Other ,Roommate Living in Same Unit ,Illegal Use of Unit ,Unapproved Subtenant ,Condo Conversion ,Denial of Access to Unit ,Failure to Sign Lease Renewal,Development Agreement,Good Samaritan Tenancy Ends,Lead Remediation 
1997,345,267,124,106,193,104,20,78,1,13,2,0,0,0
1998,321,251,145,95,163,81,17,100,1,12,2,0,0,0
1999,316,256,166,100,73,147,27,191,2,11,3,0,0,0
2000,382,274,117,95,107,148,35,27,4,13,6,0,0,0
2001,387,267,111,66,66,119,36,22,7,9,2,0,0,1
2002,253,255,94,71,17,84,21,9,4,7,1,0,0,0
2003,285,285,122,56,38,54,23,10,8,7,1,0,0,0
2004,212,234,86,54,34,58,21,16,8,2,0,0,0,0
2005,293,337,89,55,40,45,32,14,0,7,0,0,0,0
2006,280,288,99,67,51,51,49,23,3,14,0,0,0,0
2007,377,322,129,80,40,23,38,16,3,20,9,0,0,3
2008,378,324,102,83,53,27,45,20,2,18,2,0,0,0
2009,411,260,111,81,59,25,36,20,2,13,6,0,0,3
2010,448,295,84,52,72,36,19,13,4,29,9,106,0,0
2011,536,246,90,46,59,28,30,21,2,26,4,0,0,0
2012,445,336,80,59,66,37,36,18,11,11,7,232,1,0
2013,599,360,75,78,56,41,45,19,12,15,11,0,0,0
2014,390,215,87,49,34,37,44,9,6,4,0,0,0,0
